PmassEU,PradiusEU,PdensityEU,PfluxMeanEU,PteqMeanK,PsurfPressEU,Pmag,PperiodDYS,SmassSU,SradiusSU,SteffK,SluminositySU,SsizefromPlanetDEG
14.46,2.17,1.41,52.4292,685.5,20.4,-23.19,13.65,0.91,0.87,5485,0.61466,4.283
0.66,0.92,0.85,134.8889,868.2,0.6,-22.34,13.65,1.14,1.21,6116,1.837937,5.5263
4.65,1.62,1.09,94.35957,794,5.1,-23.19,13.68,1.06,1.06,5909,1.229016,4.9512
9.31,3.61,0.2,68.81817,733.8,1.8,-24.59,13.7,0.92,0.88,5857,0.817629,4.3035
19.52,2.33,1.54,41.9865,648.5,30.1,-23.1,13.71,0.86,0.82,5303,0.477094,4.1003
16.11,2.23,1.45,89.89426,780.7,23.4,-23.84,13.72,0.81,0.93,5638,0.784072,5.3432
11.88,2.07,1.34,101.2896,808.2,15.9,-23.8,13.72,1.04,1.11,5865,1.308,5.2073
21.7,2.39,1.6,158.6791,904.2,34.7,-24.6,13.72,1.19,1.29,6224,2.240514,5.7879
11.16,2.04,1.31,7.351605,419.5,14.7,-20.91,13.73,0.56,0.49,4136,0.063038,2.8203
30.62,2.58,1.79,244.417,1007,54.8,-25.24,13.73,1.1,1.74,5923,3.343146,7.9381
14.46,2.17,1.41,37.68104,631.2,20.4,-22.83,13.73,0.84,0.8,5208,0.422429,4.0274
6.26,1.76,1.15,5.22552,385,7.2,-20.21,13.74,0.5,0.49,3722,0.041342,2.9379
60.09,3.65,1.23,222.5764,978.7,74.2,-25.91,13.75,1.21,1.72,5871,3.138866,7.7633
6.1,1.75,1.14,66.24265,726.8,7,-22.97,13.75,0.91,0.9,5815,0.830948,4.2834
4.29,2.81,0.19,22.6819,556,0.8,-22.83,13.75,0.75,0.72,4747,0.236174,3.7609
15.1,2.2,1.43,29.3073,592.8,21.6,-22.57,13.77,0.86,0.76,4997,0.323113,3.858
1.01,1.61,0.24,6.763582,410.7,0.2,-20.3,13.78,0.57,0.54,3871,0.058745,3.0902
6.1,1.75,1.14,22.67576,555.9,7,-21.8,13.82,0.7,0.64,4984,0.226758,3.4112
3.49,1.5,1.03,91.53143,788,3.6,-22.99,13.82,0.84,1.06,5731,1.087485,5.1843
4.46,1.48,1.38,225.3489,987.1,6.2,-23.94,13.84,1.11,1.66,5900,2.995809,7.6783
26.81,2.5,1.72,19.00745,532,46.1,-22.38,13.9,0.7,0.67,4671,0.191725,3.5557
2.81,1.41,1,205.0361,964.1,2.8,-23.73,13.91,1.26,1.44,6370,3.063181,6.2816
1.54,1.19,0.92,63.68285,719.7,1.4,-22.08,13.93,0.85,0.88,5797,0.784636,4.2259
3.22,1.47,1.02,136.6045,871,3.3,-23.37,13.93,1.17,1.23,6154,1.946839,5.4928
2,1.28,0.95,42.28194,646.5,1.9,-21.81,13.96,0.78,0.79,5344,0.460153,4.0782
5.82,1.72,1.13,5.539546,390.9,6.6,-20.23,13.97,0.55,0.49,3799,0.04487,2.9017
4.68,2.89,0.19,62.69164,716.9,0.9,-24,13.98,0.94,0.93,5622,0.77521,4.4581
9.51,1.96,1.26,19.55926,535.8,12,-21.89,13.98,0.68,0.62,4880,0.195593,3.3045
5.72,3.08,0.2,93.86175,793,1.1,-24.58,14.01,1.03,1.09,5837,1.237376,5.0608
0.96,1.03,0.88,35.94952,623.8,0.8,-21.15,14.01,0.82,0.79,5193,0.407209,3.9565
5.95,1.74,1.14,43.06717,651.2,6.8,-22.49,14.03,0.59,0.79,5150,0.389583,4.432
21.7,2.39,1.6,38.98206,636.6,34.7,-23.07,14.03,0.85,0.81,5268,0.45336,4.0035
2.23,1.32,0.97,64.31712,721.5,2.2,-22.32,14.03,0.95,0.93,5676,0.805425,4.43
13.13,4.04,0.2,58.38595,701.2,2.6,-24.67,14.07,0.8,1.02,5150,0.647379,5.1746
3.4,1.49,1.03,105.6522,816.8,3.5,-23.13,14.08,1.09,1.14,5945,1.456489,5.176
3.92,2.73,0.19,45.81489,662.8,0.8,-23.54,14.09,0.9,0.85,5413,0.556519,4.1109
3.91,2.73,0.19,45.74343,662.6,0.8,-23.54,14.09,0.9,0.85,5413,0.556519,4.1077
7.49,3.36,0.2,102.3513,810.3,1.5,-24.87,14.09,1.07,1.1,5987,1.394801,5.0232
4.57,2.87,0.19,65.24475,724.1,0.9,-24.03,14.13,0.96,0.95,5812,0.923931,4.2553
4.45,2.84,0.19,41.01763,644.7,0.9,-23.51,14.13,0.85,0.82,5315,0.481427,4.0344
26.25,2.49,1.71,58.47419,704.5,44.8,-23.6,14.16,0.93,0.92,5570,0.730948,4.3862
6.72,1.79,1.17,114.4633,833.3,7.8,-23.62,14.17,1.05,1.18,5900,1.513777,5.4703
10.33,3.73,0.2,35.35562,617.8,2.1,-23.95,14.18,0.7,0.76,5150,0.360356,4.0328
24.64,2.45,1.67,43.08247,652.7,41.1,-23.24,14.2,0.87,0.84,5346,0.517088,4.0869
6.6,1.78,1.16,3.846028,350.1,7.7,-19.96,14.21,0.47,0.46,3526,0.028964,2.8785
3.99,1.56,1.06,80.46982,763.1,4.2,-22.93,14.26,1.02,1.02,5831,1.079101,4.6953
10.05,3.7,0.2,86.64706,769.4,2,-24.92,14.28,0.87,0.96,5940,1.018466,4.7758
13.26,2.13,1.38,10.55419,459.2,18.2,-21.39,14.28,0.64,0.61,4201,0.103982,3.2755
295.68,10.14,0.28,338.4513,1079.9,84,-28.62,14.31,1.48,2.44,5697,5.626708,10.2599
6.12,3.15,0.2,50.96728,680.7,1.2,-23.96,14.31,0.9,0.88,5491,0.631627,4.2136
5.34,3.01,0.2,233.2272,995.6,1,-25.53,14.36,1.34,1.54,6496,3.78892,6.4423
9.09,1.94,1.25,84.08232,771.5,11.3,-23.45,14.37,1.01,1.05,5817,1.132569,4.8228
5.68,1.71,1.13,149.2889,890.5,6.4,-23.81,14.38,1.17,1.33,6117,2.222016,5.8121
5.68,1.71,1.13,86.36407,776.7,6.4,-23.21,14.38,1.04,1.04,5913,1.186283,4.7303
3.06,2.53,0.19,114.991,834.3,0.6,-24.38,14.4,0.96,1.24,5812,1.574112,5.6503
0.77,0.96,0.86,35.83567,623.3,0.7,-21,14.43,0.7,0.68,5502,0.380181,3.5188
1.54,1.19,0.92,100.0145,805.7,1.4,-22.57,14.43,1.09,1.09,6046,1.424346,4.869
3.69,1.52,1.04,167.2551,875.1,3.8,-23.81,14.44,1.25,1.36,6106,2.30672,6.5725
0.71,0.94,0.85,65.53261,724.9,0.6,-21.6,14.45,0.97,0.95,5718,0.865593,4.4062
25.44,5.04,0.2,175.5163,925,5.1,-26.35,14.48,1.09,1.48,5724,2.109657,7.2228
17.93,2.28,1.5,82.99355,769,26.9,-23.8,14.49,1.01,1.05,5813,1.129457,4.798
10.17,1.99,1.28,34.64891,618.1,13.1,-22.55,14.5,0.82,0.85,5020,0.411664,4.1567
3.14,1.46,1.02,38.65411,635.2,3.2,-21.98,14.51,0.78,0.79,5376,0.467715,3.828
5.99,3.12,0.2,41.2857,645.8,1.2,-23.72,14.53,0.89,0.84,5350,0.518637,3.9948
7.21,1.83,1.19,72.10322,742.4,8.5,-23.15,14.53,0.99,0.98,5796,0.972424,4.4983
5.53,3.05,0.2,198.6096,956.4,1.1,-25.38,14.55,1.3,1.47,6383,3.21828,6.1571
13.49,4.08,0.2,130.2963,860.8,2.7,-25.55,14.56,1.06,1.34,5816,1.843304,6.0066
10.4,2,1.29,91.76219,788.5,13.4,-23.62,14.56,1.06,1.08,5935,1.298435,4.8399
3.99,1.56,1.06,148.5602,889.4,4.2,-23.6,14.56,1.2,1.3,6229,2.282705,5.5911
3.64,2.67,0.19,5.380342,388,0.7,-21.15,14.57,0.56,0.52,3785,0.049792,2.8809
16.81,2.25,1.47,28.49604,588.6,24.8,-22.6,14.59,0.83,0.74,5147,0.344802,3.5857
18.71,2.31,1.52,120.2982,843.7,28.5,-24.22,14.59,1.1,1.18,6117,1.749073,5.2169
2.3,1.33,0.97,163.0371,910.4,2.2,-23.36,14.61,1.32,1.38,6189,2.506859,5.9335
16.81,2.25,1.47,70.08367,737.1,24.8,-23.58,14.63,0.86,1.08,5526,0.975845,4.879
254.35,9.84,0.27,45.22916,660.7,67.8,-26.32,14.65,0.91,0.94,5196,0.581554,4.4332
4.34,2.82,0.19,56.95058,699.9,0.8,-23.85,14.65,0.98,0.9,5723,0.779596,4.1002
6.4,1.77,1.16,80.86345,764,7.4,-23.21,14.67,0.77,1.03,5739,1.032545,4.859
9.29,1.95,1.26,93.60796,792.5,11.7,-23.58,14.71,1.02,1.19,5665,1.308529,5.3657
4.86,2.92,0.19,138.2054,873.5,0.9,-24.89,14.75,1.14,1.41,5851,2.090492,6.1132
5.68,1.71,1.13,50.99345,680.8,6.4,-22.64,14.75,1.01,0.88,5654,0.710033,3.9751
5.16,2.98,0.19,80.08488,762.1,1,-24.34,14.79,0.95,1.02,5829,1.077622,4.6873
16.71,4.38,0.2,458.6032,1179,3.3,-27.08,14.8,1.6,2.01,7005,8.727994,7.7705
0.8,0.97,0.86,135.6508,869.5,0.7,-22.47,14.8,1.2,1.28,6170,2.130348,5.4453
3.06,2.53,0.19,328.4397,1084.6,0.6,-25.52,14.84,2.11,1.85,6620,5.897463,7.3625
16.31,6.96,0.05,67.33047,729.8,0.8,-26,14.86,0.97,1.11,5383,0.924841,5.0398
2.81,1.41,1,3.72985,354.1,2.8,-19.36,14.87,0.54,0.47,3591,0.032957,2.6648
6.1,1.75,1.14,45.1422,660.4,7,-22.55,14.88,0.88,0.85,5471,0.580757,3.9945
6.88,1.8,1.17,80.35547,762.8,8.1,-23.25,14.89,1.02,1.03,5885,1.141695,4.6062
3.06,2.53,0.19,146.4941,886.3,0.6,-24.64,14.97,0.9,1.54,5727,2.28897,6.5691
2.37,1.34,0.97,40.03199,640.8,2.3,-21.84,14.97,0.87,0.83,5374,0.51551,3.8986
2.81,1.41,1,119.5905,842.5,2.8,-23.14,15.02,1.06,1.29,5863,1.764205,5.6624
1.59,1.2,0.93,73.72491,746.5,1.5,-22.26,15.03,1,1,5845,1.047196,4.4726
1.4,1.15,0.91,108.2625,821.8,1.3,-22.6,15.04,0.94,1.17,5889,1.477161,5.3398
7.73,1.86,1.2,68.0484,731.7,9.3,-23.13,15.05,0.97,1.03,5617,0.947506,4.653
5.14,1.67,1.11,90.24542,785.2,5.7,-23.2,15.05,1.06,1.09,5949,1.335115,4.7771
29.92,1.13,20.67,177.769,930.3,618.4,-23.09,15.09,1.17,1.55,6013,2.817851,6.5644
9.51,1.96,1.26,44.35926,657.5,12,-22.78,15.14,0.88,0.85,5479,0.584161,3.9481
5.46,3.04,0.2,113.7512,832,1.1,-24.76,15.16,1.09,1.13,6326,1.834694,4.743
16.81,2.25,1.47,172.0491,922.7,24.8,-24.56,15.17,1.13,1.47,6175,2.818853,6.1231
3.17,1.46,1.02,2.714837,327,3.2,-19.09,15.19,0.41,0.4,3497,0.021468,2.3973
17.93,2.28,1.5,127.0731,855.4,26.9,-24.26,15.19,1.15,1.24,6177,2.00837,5.2582
5.59,3.06,0.2,40.8226,644,1.1,-23.66,15.23,0.83,0.83,5460,0.549309,3.8138
17.49,2.23,1.57,148.8737,888.8,27.5,-24.39,15.27,1.11,1.52,5760,2.281744,6.5571
12.15,2.08,1.34,101.2045,808.1,16.3,-23.81,15.28,1.08,1.13,6062,1.547071,4.8721
7.85,1.87,1.21,30.63806,598.3,9.5,-22.27,15.3,0.83,0.78,5177,0.392095,3.6839
16.11,2.23,1.45,32.41681,607.9,23.4,-22.72,15.31,0.76,0.77,5211,0.392243,3.7311
13.05,4.03,0.2,19.07238,532.4,2.6,-23.43,15.33,0.65,0.59,5400,0.265564,2.6648
755.66,11.41,0.51,44.46371,657.9,384.1,-26.63,15.36,0.91,0.88,5444,0.610278,4.0038
9.09,1.94,1.25,23.21798,559.2,11.3,-22.05,15.36,0.78,0.74,4919,0.287648,3.5436
4.09,1.57,1.06,3.560642,350,4.3,-19.54,15.37,0.52,0.48,3568,0.033502,2.6373
14.15,2.16,1.4,63.2806,718.6,19.8,-23.38,15.38,1.05,0.94,5895,0.957372,4.0735
301.2,10.17,0.29,21.65631,549.6,86.3,-25.59,15.38,0.76,0.72,4881,0.263992,3.4758
4.42,1.6,1.08,96.38577,798.3,4.8,-23.19,15.38,1.09,1.13,6010,1.494668,4.8373
3.42,2.62,0.19,176.9854,929.2,0.7,-24.92,15.41,1.35,1.57,6152,3.167776,6.2576
129.99,8.39,0.22,106.8166,819,28.6,-26.91,15.46,1,1.28,5721,1.574699,5.6204
8.68,1.92,1.24,8.198087,431.1,10.7,-20.89,15.5,0.64,0.6,4043,0.086299,3.1169
8.77,1.92,1.24,8.198087,431.1,10.9,-20.89,15.5,0.64,0.6,4043,0.086299,3.1169
4.8,2.91,0.19,158.9225,904.6,0.9,-25.04,15.57,1.15,1.4,6199,2.596764,5.8392
696.29,2.91,28.2,77.10221,754.9,19633.8,-24.25,15.57,0.95,1.03,5843,1.10945,4.5771
4.74,2.9,0.19,57.98099,703,0.9,-23.93,15.59,0.96,0.95,5678,0.841625,4.203
3.69,1.52,1.04,286.2322,1047.9,3.8,-24.26,15.6,1.45,1.75,6681,5.47434,6.7475
12.88,4.01,0.2,55.58534,685.9,2.6,-24.63,15.61,0.85,0.92,5597,0.745224,4.3162
17.93,2.28,1.5,51.33613,681.9,26.9,-23.27,15.65,0.94,0.91,5614,0.73801,4.0455
3.38,2.61,0.19,140.1295,876.6,0.6,-24.66,15.66,1.2,1.35,6169,2.368189,5.5363
4.4,2.83,0.19,29.21676,592.3,0.9,-23.13,15.66,0.83,0.79,5127,0.386899,3.6591
1.81,1.24,0.94,103.3214,812.1,1.7,-22.71,15.68,0.92,1.12,6004,1.462476,5.0195
4.8,2.91,0.19,31.98674,605.9,0.9,-23.29,15.73,0.86,0.78,5331,0.438615,3.5412
3.92,2.73,0.19,61.46206,713.3,0.8,-23.86,15.75,0.98,0.96,5770,0.916507,4.1905
1274.94,11.66,0.8,44.4541,657.6,1025.6,-26.67,15.77,0.8,0.85,5350,0.537325,4.1475
4.92,2.93,0.19,92.05746,789.2,1,-24.46,15.77,1.08,1.3,5594,1.484795,5.4571
16.81,2.25,1.47,126.8293,855,24.8,-24.23,15.77,1.16,1.29,6139,2.120606,5.3184
17.93,2.28,1.5,59.33199,707.1,26.9,-23.43,15.78,0.98,0.96,5723,0.887008,4.1851
22.59,2.41,1.62,155.8691,900.2,36.6,-24.6,15.79,1.18,1.64,5770,2.674735,6.6757
13,4.03,0.2,3.769535,354.6,2.6,-21.66,15.82,0.53,0.52,3542,0.03833,2.7676
10.17,1.99,1.28,51.44344,682.3,13.1,-22.98,15.87,0.93,0.91,5634,0.748583,4.021
1.59,1.2,0.93,147.8232,888.3,1.5,-23.02,15.87,1.08,1.38,6106,2.375064,5.8044
3.1,2.54,0.19,28.95502,591,0.6,-22.88,15.91,0.85,0.81,5094,0.396365,3.6901
10.4,2,1.29,32.1956,606.9,13.4,-22.48,15.93,0.84,0.8,5261,0.439889,3.6479
9.29,1.95,1.26,23.69739,562.1,11.7,-22.08,15.96,0.78,0.72,5117,0.318872,3.3082
16.46,2.24,1.46,64.98985,723.4,24.1,-23.49,15.96,1.05,0.98,5884,1.032839,4.1437
9.86,3.47,0.24,135.3199,868.8,2.3,-25.24,15.97,1.1,1.46,5845,2.21694,6.0621
6.72,1.79,1.17,124.3204,850.7,7.8,-23.71,15.99,1.19,1.28,6186,2.152531,5.1858
1.14,1.09,0.89,21.57346,549.1,1,-20.71,16,0.8,0.72,4955,0.280369,3.3663
8.87,3.55,0.2,306.3347,1065.8,1.8,-26.18,16,1.49,1.81,6769,6.17085,6.8001
22.64,2.41,1.62,120.3344,843.8,36.7,-24.32,16.01,1.07,1.36,5848,1.940873,5.7092
3.33,2.6,0.19,21.67717,549.7,0.6,-22.61,16.01,0.79,0.74,4913,0.286247,3.4323
0.49,0.84,0.83,38.71819,635.5,0.4,-20.78,16.05,0.89,0.85,5410,0.555286,3.7832
23.62,4.92,0.2,24.0018,563.9,4.7,-24.12,16.07,0.83,0.73,5120,0.328561,3.3255
17.49,4.45,0.2,30.1797,597.1,3.5,-24.15,16.08,0.85,0.8,5203,0.420809,3.6111
16.11,2.23,1.45,52.11923,684.5,23.4,-23.24,16.08,0.95,0.93,5635,0.782405,4.0459
16.14,2.41,1.16,63.08415,718,18.6,-23.61,16.09,1.02,1.03,5685,0.994229,4.3734
17.18,2.26,1.48,49.20144,674.7,25.5,-23.21,16.09,0.94,0.94,5513,0.732314,4.107
7.65,3.38,0.2,141.6552,878.9,1.5,-25.24,16.09,1.24,1.38,6165,2.4682,5.5736
0.34,0.75,0.81,15.15374,502.7,0.3,-19.51,16.09,0.96,0.67,4661,0.190088,3.1884
4.86,2.92,0.19,26.25807,576.7,0.9,-23.08,16.09,0.8,0.77,5071,0.351759,3.5459
12.97,2.12,1.37,233.2993,995.7,17.7,-24.76,16.1,1.25,1.94,5944,4.215106,7.6973
17.93,2.28,1.5,32.16387,606.7,26.9,-22.76,16.13,0.85,0.81,5259,0.45027,3.6489
8.93,2.22,0.82,20.24718,540.4,7.3,-22.19,16.15,0.81,0.76,4809,0.277164,3.4622
6.56,1.78,1.16,67.10299,729.2,7.6,-23.02,16.18,1.02,1.02,5812,1.065106,4.3156
13.57,2.14,1.38,20.57459,542.6,18.8,-22.13,16.2,0.77,0.73,4880,0.271153,3.3892
4.34,2.82,0.19,73.06322,744.9,0.8,-24.12,16.22,1.03,1.04,5894,1.171108,4.3787
3.59,1.51,1.04,49.14447,674.5,3.7,-22.32,16.22,0.94,0.92,5590,0.741503,3.9922
1.45,1.16,0.92,84.11431,771.5,1.3,-22.34,16.23,1.03,1.07,6020,1.349098,4.5037
8.08,3.68,0.16,181.9956,935.8,1.3,-25.69,16.24,1.11,1.66,5900,2.995809,6.8993
8.58,2.67,0.45,62.15255,715.3,3.9,-23.82,16.24,1,1.02,5690,0.978451,4.3333
13.37,4.07,0.2,29.64184,594.5,2.7,-23.93,16.24,0.94,0.83,5190,0.448451,3.5967
425.4,8.7,0.65,72.93599,744.4,274.6,-26.57,16.25,1.13,1.09,5846,1.247311,4.448
3.31,1.48,1.02,121.7094,846.2,3.4,-23.26,16.26,1.03,1.31,6092,2.120665,5.2907
1.14,1.09,0.89,126.7972,854.9,1,-22.64,16.26,1.16,1.46,5852,2.242915,5.8526
7.56,1.85,1.2,14.97635,501.2,9,-21.47,16.28,0.73,0.67,4668,0.191233,3.1602
1.7,1.22,0.93,20.81713,544.2,1.6,-20.92,16.3,0.8,0.75,4870,0.283876,3.4232
8.48,1.9,1.23,58.19234,703.7,10.4,-23.01,16.3,0.98,0.97,5727,0.908118,4.1389
1.07,1.06,0.89,23.03063,558.1,0.9,-20.73,16.3,0.8,0.76,4961,0.313902,3.4697
1.81,1.24,0.94,28.92895,590.9,1.7,-21.32,16.33,0.79,0.78,5212,0.402807,3.5232
9.85,3.67,0.2,48.42085,672.1,2,-24.25,16.33,0.94,0.91,5612,0.736959,3.9317
297.6,10.15,0.28,208.2858,967.9,84.8,-28.05,16.34,1,2.52,4908,3.306048,10.6749
11.75,3.89,0.2,95.98396,796.3,2.3,-25.12,16.36,1.06,1.21,5911,1.581221,5.0174
8.1,1.88,1.22,195.9697,953.2,9.9,-24.31,16.36,1.36,1.72,6161,3.824297,6.5651
6.72,1.79,1.17,6.331841,404.1,7.8,-20.46,16.39,0.54,0.52,4075,0.066897,2.6963
10.17,1.99,1.28,133.5323,866,13.1,-24.02,16.4,1.2,1.35,6165,2.362054,5.4113
5.82,1.72,1.13,21.80434,550.5,6.6,-21.73,16.47,0.75,0.72,4992,0.288837,3.3342
4.08,2.77,0.19,44.52395,658.1,0.8,-23.53,16.51,0.91,0.89,5526,0.662694,3.8884
16.81,2.25,1.47,27.3742,582.7,24.8,-22.55,16.54,0.84,0.79,5148,0.393277,3.513
3.88,1.55,1.05,27.26952,582.2,4.1,-21.73,16.54,0.85,0.79,5153,0.394807,3.4994
11.54,3.87,0.2,84.91292,770.9,2.3,-24.98,16.55,0.96,1.09,5940,1.321827,4.6838
17.55,2.27,1.49,32.79281,609.7,26.2,-22.77,16.55,0.88,0.83,5296,0.486226,3.6331
3.15,2.55,0.19,34.59394,617.9,0.6,-23.09,16.56,0.85,0.81,5403,0.501649,3.5852
3.62,2.67,0.19,29.87962,595.6,0.7,-23.02,16.57,0.84,0.79,5265,0.430266,3.5089
21.7,2.39,1.6,35.92107,623.7,34.7,-22.98,16.57,0.88,0.84,5388,0.53353,3.6737
3.59,1.51,1.04,58.45542,704.5,3.7,-22.51,16.59,1,0.99,5728,0.946613,4.1468
4.51,2.86,0.19,57.69115,702.1,0.9,-23.89,16.67,1.08,1.03,5679,0.990038,4.191
12.97,2.12,1.37,12.78565,481.8,17.7,-21.59,16.71,0.65,0.62,4623,0.157532,2.977
1.81,1.24,0.94,44.72199,658.8,1.7,-21.79,16.73,0.87,0.84,5787,0.710006,3.5533
3.82,2.71,0.19,27.13387,581.5,0.7,-22.95,16.74,0.83,0.87,4918,0.397267,3.8324
4.08,2.77,0.19,12.90702,482.9,0.8,-22.18,16.74,0.7,0.67,4511,0.166775,3.1415
3.4,1.49,1.03,16.63113,514.5,3.5,-21.11,16.75,0.77,0.72,4712,0.229285,3.2683
19.11,2.32,1.53,22.2967,553.6,29.3,-22.4,16.78,0.82,0.76,4990,0.321306,3.3744
19.52,2.33,1.54,15.40718,504.7,30.1,-22,16.8,0.73,0.7,4651,0.205718,3.2288
6.1,1.75,1.14,50.87545,680.4,7,-22.68,16.83,0.96,0.94,5667,0.817633,3.9523
3.62,2.67,0.19,27.60746,584,0.7,-22.93,16.86,0.78,0.83,5036,0.397547,3.6866
10.17,1.99,1.28,90.71349,786.3,13.1,-23.6,16.86,1.09,1.14,6077,1.590218,4.5897
3.1,2.54,0.19,43.74528,655.2,0.6,-23.33,16.88,0.96,0.9,5582,0.70556,3.7773
9.48,3.63,0.2,62.10918,715.2,1.9,-24.49,16.92,1.01,1.01,5806,1.040018,4.1604
2.17,1.31,0.96,14.21374,494.7,2.1,-20.66,16.93,0.65,0.67,4648,0.187977,3.1052
3.47,2.63,0.19,78.02456,757.2,0.7,-24.04,17.03,1.03,1.1,5835,1.258458,4.6171
25.12,5.02,0.2,27.65682,583.7,5,-24.32,17.05,0.83,0.96,4740,0.417394,4.1705
20.29,4.67,0.2,77.33188,753.9,4,-25.29,17.12,1.04,1.2,5588,1.259731,5.0265
3.52,2.64,0.19,30.41493,598.3,0.7,-23.02,17.13,0.84,0.81,5281,0.457851,3.5188
12.15,2.08,1.34,70.97636,739.5,16.3,-23.42,17.14,1.04,1.06,5913,1.232348,4.288
10.17,1.99,1.28,54.23424,691.4,13.1,-23.04,17.15,0.98,0.96,5753,0.905753,3.9596
3.24,2.58,0.19,27.51332,583.5,0.6,-22.85,17.21,0.83,0.79,5212,0.413201,3.4359
4.92,2.93,0.19,107.4354,820.2,1,-24.62,17.23,1.03,1.26,6089,1.95801,4.9754
21.94,4.8,0.2,143.7769,875.5,4.4,-26.04,17.24,1.18,1.58,5936,2.761089,6.1406
3.87,2.72,0.19,11.18604,465.9,0.7,-21.99,17.25,0.65,0.59,4500,0.128069,2.9388
2.3,1.33,0.97,126.8586,855,2.2,-23.08,17.27,1.15,1.36,6177,2.415896,5.2538
7.38,1.84,1.19,6.976891,414.1,8.8,-20.62,17.28,0.51,0.49,4347,0.07692,2.4871
96.56,7.72,0.21,21.86545,550.9,20.3,-25,17.28,0.82,0.76,5014,0.327532,3.3097
3.05,1.44,1.01,66.22664,726.8,3.1,-22.55,17.29,1.02,1.02,5923,1.148834,4.128
3.28,2.59,0.19,74.77073,749.2,0.6,-23.95,17.31,1,1.02,6089,1.28314,4.1503
89.02,2.92,3.56,200.4282,958.6,317.3,-25.3,17.32,1.19,1.65,6306,3.862545,6.3373
5.85,3.1,0.2,21.67422,549.7,1.1,-23,17.32,0.79,0.75,5009,0.317699,3.3017
25.16,2.46,1.68,19.45433,535.1,42.3,-22.38,17.33,0.82,0.72,4954,0.280142,3.1979
3.4,1.49,1.03,79.31528,760.3,3.5,-22.81,17.34,1.07,1.15,5886,1.424185,4.5747
8.3,1.89,1.22,1.234564,267.9,10.2,-18.8,17.38,0.43,0.34,3371,0.013018,1.745
5.46,3.04,0.2,106.0004,817.5,1.1,-24.68,17.41,1.11,1.26,6091,1.960583,4.9388
6.54,3.21,0.2,52.4055,685.5,1.3,-24.04,17.42,1.05,0.98,5741,0.936035,3.9085
5.72,3.08,0.2,39.0365,636.8,1.1,-23.63,17.42,0.89,0.86,5539,0.624615,3.6238
24.64,2.45,1.67,33.77377,614.2,41.1,-22.97,17.44,0.87,0.84,5387,0.533134,3.5635
14.46,2.17,1.41,25.26429,571.2,20.4,-22.39,17.46,0.8,0.8,5100,0.388464,3.4387
4.4,1.6,1.08,1.774511,293.7,4.7,-18.83,17.48,0.27,0.39,3028,0.01132,2.5982
9.31,3.61,0.2,47.74169,669.7,1.8,-24.19,17.59,0.96,0.95,5630,0.813525,3.8791
14.46,2.17,1.41,25.87326,574.6,20.4,-22.42,17.65,0.8,0.81,5160,0.41731,3.3994
26.81,2.5,1.72,18.35091,527.3,46.1,-22.35,17.67,0.79,0.74,4870,0.276356,3.214
7.38,1.84,1.19,48.56281,672.5,8.8,-22.74,17.67,0.95,0.94,5683,0.826906,3.8397
7.73,1.86,1.2,26.60221,578.6,9.3,-22.11,17.74,0.85,0.79,5282,0.435851,3.2895
11.88,2.07,1.34,5.444701,389.2,15.9,-20.61,17.76,0.55,0.53,4005,0.064841,2.5884
4.77,1.64,1.09,68.8499,733.9,5.2,-22.86,17.78,0.99,1.05,6012,1.292244,4.0853
4.34,2.82,0.19,44.59343,658.4,0.8,-23.58,17.79,0.93,0.94,5574,0.765268,3.8247
4.24,2.8,0.19,57.8707,702.7,0.8,-23.85,17.82,1.04,0.97,5962,1.057821,3.8084
4.41,2.84,0.19,195.6952,947.7,0.9,-25.22,17.83,1.3,1.41,6375,2.946109,6.1722
5.6,3.1,0.19,130.0055,860.3,1,-24.95,17.85,1.03,1.33,6215,2.367869,5.2537
3179.4,16.02,0.77,226.1771,988,2460.5,-29.14,17.86,1.45,1.63,6820,5.157064,5.7551
4.26,1.59,1.07,0.5991741,222.6,4.6,-17.64,17.87,0.25,0.19,3393,0.004177,1.2115
1.59,1.2,0.93,38.60717,635.1,1.5,-21.55,17.91,0.95,0.84,5666,0.652461,3.444
2.51,1.37,0.98,94.00552,793.3,2.5,-22.81,17.93,1.19,1.11,6435,1.895527,4.1667
16.14,2.23,1.46,9.61211,448.6,23.5,-21.39,17.97,0.71,0.66,4320,0.136117,2.956
435.58,2.02,53.16,58.29255,704,23155.8,-23.14,17.98,1.04,0.94,6074,1.079058,3.6825
4.74,2.9,0.19,111.5849,828,0.9,-24.64,17.98,1.24,1.33,6185,2.32248,4.9144
197.12,9.31,0.24,21.57343,548.8,48.1,-25.39,17.99,0.8,0.8,4875,0.320713,3.4918
3.88,1.55,1.05,87.71006,779.7,4.1,-23,18.01,1.04,1.18,6003,1.622285,4.6251
28.06,5.21,0.2,40.7709,643.8,5.6,-24.82,18.01,0.93,0.9,5575,0.702028,3.6557
25.16,2.46,1.68,66.7299,728.2,42.3,-23.72,18.02,1.06,1.08,5884,1.254377,4.1988
3.22,1.47,1.02,39.2832,637.8,3.3,-22.01,18.05,0.93,0.9,5528,0.678652,3.6497
26.81,2.5,1.72,115.8491,835.8,46.1,-24.36,18.11,1.21,1.35,6187,2.395951,5.0042
6.26,3.17,0.2,24.37481,566.1,1.2,-23.17,18.12,0.89,0.79,5208,0.411934,3.2389
